scenario,vip_occupancy_pct,avg_rolling_chip_usd,revenue_usd_m,ggr_full_usd_m,company_casino_rev_usd_m,tender_rent_usd_m,ebitda_usd_m,ebitda_margin_pct,net_income_usd_m,net_margin_pct,project_irr_pct_low,project_irr_pct_high,ebitda_payback_years,npv_10pct_usd_m
pessimistic,50,150000,380.0,170.0,205.0,120.0,115.0,30.3,42.0,11.1,14,17,4.3,
base,70,250000,640.4,442.4,381.4,120.0,281.5,44.0,173.2,27.1,22,26,4.3,800
optimistic,85,400000,850.0,950.0,520.0,120.0,390.0,45.9,260.0,30.6,28,32,4.3,

# Notes
# Year-3 stabilised operating snapshot. All USD figures in millions unless a field name says otherwise.
# ggr_full_usd_m = full casino ecosystem GGR (owned + JV + 12 tendered salons). Tendered-salon GGR is recognised by operators, not the company, but is the GRA tax base.
# company_casino_rev_usd_m = company-recognised casino revenue (tender rent + JV GGR + owned VIP GGR + main floor).
# tender_rent_usd_m is contractually fixed at US$10m x 12 salons in all three scenarios.
# Base-case NPV is the 20-year project NPV at a 10% discount rate from the business plan (Ch. 7.6.3). Downside/upside NPVs are not separately stated in V1.0.
# EBITDA payback of ~4.3 years is stated for the base case from opening; downside remains EBITDA-positive from Y1 due to tender rent.
# Source: Bullion Entertainment City Development Project Business Plan V1.0 (2026), Chapters 6–7.
